,N,bkgr_mean,bkgr_var,hub_size,hub_mean,hub_var,seed_a,seed_b,score
37,100,0.0,1.0,2,0.5,1.0,4,8,0.0365571010466366
38,100,0.0,1.0,2,0.5,1.0,4,9,0.0348688377861338
39,100,0.0,1.0,2,0.5,1.0,4,10,0.0369466135003192
40,100,0.0,1.0,2,0.5,1.0,5,6,0.0355356234710643
41,100,0.0,1.0,2,0.5,1.0,5,7,0.0322047590648396
42,100,0.0,1.0,2,0.5,1.0,5,8,0.0341160306116526
43,100,0.0,1.0,2,0.5,1.0,5,9,0.0363913684689824
44,100,0.0,1.0,2,0.5,1.0,5,10,0.0359032861843737
45,100,0.0,1.0,2,0.5,1.0,6,7,0.0341588438226397
46,100,0.0,1.0,2,0.5,1.0,6,8,0.0369226650047724
47,100,0.0,1.0,2,0.5,1.0,6,9,0.0336034073730849
48,100,0.0,1.0,2,0.5,1.0,6,10,0.035985304034527
49,100,0.0,1.0,2,0.5,1.0,7,8,0.0397472327630185
50,100,0.0,1.0,2,0.5,1.0,7,9,0.0394515566803111
51,100,0.0,1.0,2,0.5,1.0,7,10,0.0359052210184551
52,100,0.0,1.0,2,0.5,1.0,8,9,0.0374278025437129
53,100,0.0,1.0,2,0.5,1.0,8,10,0.0311664824392361
54,100,0.0,1.0,2,0.5,1.0,9,10,0.0368860826257288
55,100,0.0,1.0,2,1.0,1.0,0,1,0.034481836635677
56,100,0.0,1.0,2,1.0,1.0,0,2,0.0375361176180891
57,100,0.0,1.0,2,1.0,1.0,0,3,0.0408137571538871
58,100,0.0,1.0,2,1.0,1.0,0,4,0.0369958177880257
59,100,0.0,1.0,2,1.0,1.0,0,5,0.0376533746148945
60,100,0.0,1.0,2,1.0,1.0,0,6,0.0360627611126657
61,100,0.0,1.0,2,1.0,1.0,0,7,0.0363407336741729
62,100,0.0,1.0,2,1.0,1.0,0,8,0.0374086181838165
63,100,0.0,1.0,2,1.0,1.0,0,9,0.0357696822638388
64,100,0.0,1.0,2,1.0,1.0,0,10,0.0365549220065409
65,100,0.0,1.0,2,1.0,1.0,1,2,0.034455331258293
66,100,0.0,1.0,2,1.0,1.0,1,3,0.0386397575654862
67,100,0.0,1.0,2,1.0,1.0,1,4,0.0369823843764427
68,100,0.0,1.0,2,1.0,1.0,1,5,0.0443855754812926
69,100,0.0,1.0,2,1.0,1.0,1,6,0.0440945002630924
70,100,0.0,1.0,2,1.0,1.0,1,7,0.0367793500491355
71,100,0.0,1.0,2,1.0,1.0,1,8,0.0433621613087324
72,100,0.0,1.0,2,1.0,1.0,1,9,0.0422512240134044
73,100,0.0,1.0,2,1.0,1.0,1,10,0.0291359846809869
74,100,0.0,1.0,2,1.0,1.0,2,3,0.0434509332151781
75,100,0.0,1.0,2,1.0,1.0,2,4,0.0382336984715808
76,100,0.0,1.0,2,1.0,1.0,2,5,0.0340006639772308
77,100,0.0,1.0,2,1.0,1.0,2,6,0.0347117786967676
78,100,0.0,1.0,2,1.0,1.0,2,7,0.0370431506713713
79,100,0.0,1.0,2,1.0,1.0,2,8,0.0370289081847656
80,100,0.0,1.0,2,1.0,1.0,2,9,0.0367853648839578
81,100,0.0,1.0,2,1.0,1.0,2,10,0.0289047765732676
82,100,0.0,1.0,2,1.0,1.0,3,4,0.035431885229815
83,100,0.0,1.0,2,1.0,1.0,3,5,0.0341299782122606
84,100,0.0,1.0,2,1.0,1.0,3,6,0.0320834150030292
85,100,0.0,1.0,2,1.0,1.0,3,7,0.0382070524794018
86,100,0.0,1.0,2,1.0,1.0,3,8,0.0333242302951519
87,100,0.0,1.0,2,1.0,1.0,3,9,0.0367994825114463
88,100,0.0,1.0,2,1.0,1.0,3,10,0.0332655418089634
89,100,0.0,1.0,2,1.0,1.0,4,5,0.0393549472818682
90,100,0.0,1.0,2,1.0,1.0,4,6,0.0373497035968682
91,100,0.0,1.0,2,1.0,1.0,4,7,0.0363255651640389
92,100,0.0,1.0,2,1.0,1.0,4,8,0.0370604342383923
93,100,0.0,1.0,2,1.0,1.0,4,9,0.0357691240973228
94,100,0.0,1.0,2,1.0,1.0,4,10,0.0370944454071462
95,100,0.0,1.0,2,1.0,1.0,5,6,0.0359672492898481
96,100,0.0,1.0,2,1.0,1.0,5,7,0.0339496369283402
97,100,0.0,1.0,2,1.0,1.0,5,8,0.0337625384598355
98,100,0.0,1.0,2,1.0,1.0,5,9,0.0369270615667346
99,100,0.0,1.0,2,1.0,1.0,5,10,0.0362181930560612
100,100,0.0,1.0,2,1.0,1.0,6,7,0.0336807662966453
101,100,0.0,1.0,2,1.0,1.0,6,8,0.0370029187894203
102,100,0.0,1.0,2,1.0,1.0,6,9,0.0332482031062948
103,100,0.0,1.0,2,1.0,1.0,6,10,0.0348041079743732
104,100,0.0,1.0,2,1.0,1.0,7,8,0.0388894730085509
105,100,0.0,1.0,2,1.0,1.0,7,9,0.0402583142950516
106,100,0.0,1.0,2,1.0,1.0,7,10,0.0357140375763554
107,100,0.0,1.0,2,1.0,1.0,8,9,0.0378501730671018
108,100,0.0,1.0,2,1.0,1.0,8,10,0.0315561365400408
109,100,0.0,1.0,2,1.0,1.0,9,10,0.0370943585157003
110,100,0.0,1.0,2,1.5,1.0,0,1,0.0350353055514957
