,num_changes,score,model,N,M
50,4050,0.0678027554702027,ER,300,300
51,4500,0.07080025448636544,ER,300,300
52,4950,0.06773957665940411,ER,300,300
53,5400,0.06567765278784297,ER,300,300
54,5850,0.06560827154683888,ER,300,300
55,6300,0.07019435257037075,ER,300,300
56,6750,0.06463845919977379,ER,300,300
57,7200,0.06518891158094912,ER,300,300
58,7650,0.06443077603056441,ER,300,300
59,8100,0.06429955851768925,ER,300,300
60,8550,0.060979577474354764,ER,300,300
61,9000,0.06116508488307548,ER,300,300
62,0,1.0,ER,300,300
63,1,0.9198867170846567,ER,300,300
64,11,0.6422573198593519,ER,300,300
65,21,0.5617114389638587,ER,300,300
66,31,0.5128285642355421,ER,300,300
67,41,0.4745209785576652,ER,300,300
68,51,0.40902004033822104,ER,300,300
69,61,0.3665866958600355,ER,300,300
70,71,0.3962229024836249,ER,300,300
71,81,0.35715898127582435,ER,300,300
72,91,0.34931391534635237,ER,300,300
73,450,0.1583635405553724,ER,300,300
74,900,0.12289897049473136,ER,300,300
75,1350,0.10075767741049323,ER,300,300
76,1800,0.08750792302423464,ER,300,300
77,2250,0.09258399011830612,ER,300,300
78,2700,0.08256434340186015,ER,300,300
79,3150,0.08196793638864402,ER,300,300
80,3600,0.07602254534647479,ER,300,300
81,4050,0.06846313200642132,ER,300,300
82,4500,0.07473065956624822,ER,300,300
83,4950,0.07077478578570391,ER,300,300
84,5400,0.06461609396180584,ER,300,300
85,5850,0.06580945480740838,ER,300,300
86,6300,0.06480733636517591,ER,300,300
87,6750,0.06162623027176161,ER,300,300
88,7200,0.06122717079635226,ER,300,300
89,7650,0.061543137125288666,ER,300,300
90,8100,0.06238085007178373,ER,300,300
91,8550,0.06250682713823869,ER,300,300
92,9000,0.06381183323840388,ER,300,300
93,0,1.0,ER,300,300
94,1,0.9112303703339724,ER,300,300
95,11,0.6674995565094348,ER,300,300
96,21,0.5898752201830466,ER,300,300
97,31,0.5227578667848054,ER,300,300
98,41,0.4571599442678709,ER,300,300
99,51,0.42649803058961067,ER,300,300
100,61,0.40020633468368555,ER,300,300
101,71,0.34531907630899056,ER,300,300
102,81,0.34107723155019565,ER,300,300
103,91,0.33525450866837364,ER,300,300
104,450,0.17145114054191973,ER,300,300
105,900,0.12923873411082884,ER,300,300
106,1350,0.10328433161143502,ER,300,300
107,1800,0.09714859095832344,ER,300,300
108,2250,0.08301246565565294,ER,300,300
109,2700,0.07936590453283263,ER,300,300
110,3150,0.07422927898978107,ER,300,300
111,3600,0.07234761364963672,ER,300,300
112,4050,0.07303517807961334,ER,300,300
113,4500,0.07022960959802997,ER,300,300
114,4950,0.06929530522285339,ER,300,300
115,5400,0.06522933690541176,ER,300,300
116,5850,0.06472458984278032,ER,300,300
117,6300,0.06371335243793477,ER,300,300
118,6750,0.06316195776843869,ER,300,300
119,7200,0.06660600383445604,ER,300,300
120,7650,0.06245093670743421,ER,300,300
121,8100,0.06165013980747917,ER,300,300
122,8550,0.06537656631359562,ER,300,300
123,9000,0.05842748187277702,ER,300,300
124,0,1.0,ER,300,300
125,1,0.9044276562622164,ER,300,300
126,11,0.6546083722222019,ER,300,300
127,21,0.5624877963881724,ER,300,300
128,31,0.5534016235979492,ER,300,300
129,41,0.4867883075067285,ER,300,300
130,51,0.42154868129168854,ER,300,300
131,61,0.36205776753739327,ER,300,300
132,71,0.3554306379251483,ER,300,300
133,81,0.33407822460440334,ER,300,300
134,91,0.3162793292230646,ER,300,300
135,450,0.1674187444999327,ER,300,300
136,900,0.12704498954428958,ER,300,300
137,1350,0.101586660386427,ER,300,300
138,1800,0.09310395614288428,ER,300,300
139,2250,0.08097305177352394,ER,300,300
140,2700,0.0746388168566458,ER,300,300
141,3150,0.07906286459202899,ER,300,300
142,3600,0.07992899239828696,ER,300,300
143,4050,0.07311287531094235,ER,300,300
144,4500,0.07835086301762223,ER,300,300
145,4950,0.07007630807610035,ER,300,300
146,5400,0.07013800317775967,ER,300,300
147,5850,0.06754681749032967,ER,300,300
148,6300,0.06313940992745158,ER,300,300
149,6750,0.06810076154408587,ER,300,300
150,7200,0.06290896814492132,ER,300,300
151,7650,0.05949029581073463,ER,300,300
152,8100,0.06544943672783442,ER,300,300
