,num_changes,score,model,N,M
298,4050,0.07378015441567198,ER,300,300
299,4500,0.06838137473148584,ER,300,300
300,4950,0.07101050177692639,ER,300,300
301,5400,0.06698197171140297,ER,300,300
302,5850,0.06538597084150445,ER,300,300
303,6300,0.06798147753811047,ER,300,300
304,6750,0.06481960499125748,ER,300,300
305,7200,0.060667733006800555,ER,300,300
306,7650,0.06126032536370177,ER,300,300
307,8100,0.05960183467124671,ER,300,300
308,8550,0.06393584771517952,ER,300,300
309,9000,0.06355027283976164,ER,300,300
310,0,1.0,ER,300,300
311,1,0.9159078552801707,ER,300,300
312,11,0.6896430369657511,ER,300,300
313,21,0.5791420625953165,ER,300,300
314,31,0.4977120068227712,ER,300,300
315,41,0.4442138325425115,ER,300,300
316,51,0.40483892542951383,ER,300,300
317,61,0.40951758940074057,ER,300,300
318,71,0.4192124163911702,ER,300,300
319,81,0.3440532335715672,ER,300,300
320,91,0.31826332912827676,ER,300,300
321,450,0.15808266039428864,ER,300,300
322,900,0.13382935256804973,ER,300,300
323,1350,0.10593898994740886,ER,300,300
324,1800,0.09852517949687345,ER,300,300
325,2250,0.08777085120218535,ER,300,300
326,2700,0.07915188146871832,ER,300,300
327,3150,0.07930876884306112,ER,300,300
328,3600,0.0715891263888939,ER,300,300
329,4050,0.07317327046148846,ER,300,300
330,4500,0.07189074567138787,ER,300,300
331,4950,0.07146979347225603,ER,300,300
332,5400,0.06693040463133726,ER,300,300
333,5850,0.0670705281184814,ER,300,300
334,6300,0.06890855693303734,ER,300,300
335,6750,0.06854879730960166,ER,300,300
336,7200,0.06537479522027301,ER,300,300
337,7650,0.06227119383937917,ER,300,300
338,8100,0.0657450529334292,ER,300,300
339,8550,0.0636158659570653,ER,300,300
340,9000,0.06453240240802242,ER,300,300
341,0,1.0,ER,300,300
342,1,0.9100134818706447,ER,300,300
343,11,0.6974956409131526,ER,300,300
344,21,0.5647011358142288,ER,300,300
345,31,0.5408341478909849,ER,300,300
346,41,0.4693771210721197,ER,300,300
347,51,0.39688148009512575,ER,300,300
348,61,0.37394337904127795,ER,300,300
349,71,0.3553981820668458,ER,300,300
350,81,0.3201339885019926,ER,300,300
351,91,0.3470105794876046,ER,300,300
352,450,0.14691844298071532,ER,300,300
353,900,0.11865212608595457,ER,300,300
354,1350,0.09928087431097488,ER,300,300
355,1800,0.09165634256393493,ER,300,300
356,2250,0.08563639441332913,ER,300,300
357,2700,0.08290692225223002,ER,300,300
358,3150,0.07913107212352545,ER,300,300
359,3600,0.07304133743920849,ER,300,300
360,4050,0.07007039790463215,ER,300,300
361,4500,0.0663414251420528,ER,300,300
362,4950,0.06662000621056234,ER,300,300
363,5400,0.07046767175767447,ER,300,300
364,5850,0.0707624218884214,ER,300,300
365,6300,0.06789518603165495,ER,300,300
366,6750,0.06494070256589599,ER,300,300
367,7200,0.06472459106543174,ER,300,300
368,7650,0.06539534887814855,ER,300,300
369,8100,0.06253689509874825,ER,300,300
370,8550,0.06744144623496842,ER,300,300
371,9000,0.06253262955425298,ER,300,300
372,0,1.0,ER,300,300
373,1,0.9084631028739923,ER,300,300
374,11,0.6820350967595195,ER,300,300
375,21,0.5505878370533032,ER,300,300
376,31,0.5082611006622113,ER,300,300
377,41,0.4787989476202239,ER,300,300
378,51,0.43002891471095905,ER,300,300
379,61,0.4037508306898828,ER,300,300
380,71,0.378401904961869,ER,300,300
381,81,0.31432139714663315,ER,300,300
382,91,0.33690859358432473,ER,300,300
383,450,0.18537329249965345,ER,300,300
384,900,0.12466305451024924,ER,300,300
385,1350,0.10120729827938302,ER,300,300
386,1800,0.08649250471482833,ER,300,300
387,2250,0.08808748784486438,ER,300,300
388,2700,0.08011310513296763,ER,300,300
389,3150,0.08342322364312854,ER,300,300
390,3600,0.07755852473220842,ER,300,300
391,4050,0.07664374654199545,ER,300,300
392,4500,0.07145584215172551,ER,300,300
393,4950,0.0694642784067531,ER,300,300
394,5400,0.06856195155626499,ER,300,300
395,5850,0.06528368743252634,ER,300,300
396,6300,0.06313288074428543,ER,300,300
397,6750,0.06661631188243947,ER,300,300
398,7200,0.06030399400035441,ER,300,300
399,7650,0.0664180657384619,ER,300,300
400,8100,0.06552705064108887,ER,300,300
401,8550,0.06085848332565187,ER,300,300
402,9000,0.06283364879124499,ER,300,300
403,0,1.0,ER,300,300
404,1,0.9005236489759932,ER,300,300
405,11,0.6715005512202767,ER,300,300
406,21,0.5941204582420939,ER,300,300
407,31,0.4973285041214255,ER,300,300
408,41,0.4616210743211877,ER,300,300
