,N,M,cluster_size,cluster_mean,seed_a,seed_b,score,model
136,20,20,0.166,10.0,2,10,0.1635517265204771,clustered
137,20,20,0.166,10.0,3,4,0.1544559388481436,clustered
138,20,20,0.166,10.0,3,5,0.1782241352439393,clustered
139,20,20,0.166,10.0,3,6,0.1799878973978877,clustered
140,20,20,0.166,10.0,3,7,0.1457445516230711,clustered
141,20,20,0.166,10.0,3,8,0.1234820932054656,clustered
142,20,20,0.166,10.0,3,9,0.217141699456862,clustered
143,20,20,0.166,10.0,3,10,0.202456725458416,clustered
144,20,20,0.166,10.0,4,5,0.169093216255889,clustered
145,20,20,0.166,10.0,4,6,0.1397211415099144,clustered
146,20,20,0.166,10.0,4,7,0.1628557262654509,clustered
147,20,20,0.166,10.0,4,8,0.158133642906742,clustered
148,20,20,0.166,10.0,4,9,0.1449965599032758,clustered
149,20,20,0.166,10.0,4,10,0.1246149396976986,clustered
150,20,20,0.166,10.0,5,6,0.1447430337096945,clustered
151,20,20,0.166,10.0,5,7,0.1662085353867586,clustered
152,20,20,0.166,10.0,5,8,0.1147931826154785,clustered
153,20,20,0.166,10.0,5,9,0.1628969132470907,clustered
154,20,20,0.166,10.0,5,10,0.1328292443992773,clustered
155,20,20,0.166,10.0,6,7,0.1412765425990924,clustered
156,20,20,0.166,10.0,6,8,0.1376136276364261,clustered
157,20,20,0.166,10.0,6,9,0.1706764749143653,clustered
158,20,20,0.166,10.0,6,10,0.1888712491081406,clustered
159,20,20,0.166,10.0,7,8,0.134845492505446,clustered
160,20,20,0.166,10.0,7,9,0.148952370342913,clustered
161,20,20,0.166,10.0,7,10,0.1749350818083357,clustered
162,20,20,0.166,10.0,8,9,0.124521490418877,clustered
163,20,20,0.166,10.0,8,10,0.1639701905422,clustered
164,20,20,0.166,10.0,9,10,0.1554138345601382,clustered
165,20,20,0.166,15.0,0,1,0.1820704729259705,clustered
166,20,20,0.166,15.0,0,2,0.1934708065446282,clustered
167,20,20,0.166,15.0,0,3,0.1830379815182984,clustered
168,20,20,0.166,15.0,0,4,0.2124805376648524,clustered
169,20,20,0.166,15.0,0,5,0.2100829570317839,clustered
170,20,20,0.166,15.0,0,6,0.1670798486545065,clustered
171,20,20,0.166,15.0,0,7,0.154635106543377,clustered
172,20,20,0.166,15.0,0,8,0.162399162275147,clustered
173,20,20,0.166,15.0,0,9,0.2038736628744321,clustered
174,20,20,0.166,15.0,0,10,0.162780588012381,clustered
175,20,20,0.166,15.0,1,2,0.1892682806399211,clustered
176,20,20,0.166,15.0,1,3,0.2117919609785138,clustered
177,20,20,0.166,15.0,1,4,0.1748658638618275,clustered
178,20,20,0.166,15.0,1,5,0.1745658537009252,clustered
179,20,20,0.166,15.0,1,6,0.2117018156643799,clustered
180,20,20,0.166,15.0,1,7,0.2099254058706895,clustered
181,20,20,0.166,15.0,1,8,0.1516057812928525,clustered
182,20,20,0.166,15.0,1,9,0.2201750082576112,clustered
183,20,20,0.166,15.0,1,10,0.184320129654251,clustered
184,20,20,0.166,15.0,2,3,0.1854542163652237,clustered
185,20,20,0.166,15.0,2,4,0.208116785056602,clustered
186,20,20,0.166,15.0,2,5,0.1674409072035222,clustered
187,20,20,0.166,15.0,2,6,0.18096500524969,clustered
188,20,20,0.166,15.0,2,7,0.1680716987213879,clustered
189,20,20,0.166,15.0,2,8,0.1550367150937366,clustered
190,20,20,0.166,15.0,2,9,0.1658692526646592,clustered
191,20,20,0.166,15.0,2,10,0.1967429308298886,clustered
192,20,20,0.166,15.0,3,4,0.1951983086244116,clustered
193,20,20,0.166,15.0,3,5,0.1544289502091888,clustered
194,20,20,0.166,15.0,3,6,0.1893377140389375,clustered
195,20,20,0.166,15.0,3,7,0.1687362703526136,clustered
196,20,20,0.166,15.0,3,8,0.2179012783421972,clustered
197,20,20,0.166,15.0,3,9,0.1867785409625317,clustered
198,20,20,0.166,15.0,3,10,0.1834363787251859,clustered
199,20,20,0.166,15.0,4,5,0.2066777120988417,clustered
200,20,20,0.166,15.0,4,6,0.1607579963210071,clustered
201,20,20,0.166,15.0,4,7,0.1813149266675186,clustered
202,20,20,0.166,15.0,4,8,0.1857718272163512,clustered
203,20,20,0.166,15.0,4,9,0.1719654054584305,clustered
204,20,20,0.166,15.0,4,10,0.1758988675090116,clustered
205,20,20,0.166,15.0,5,6,0.1517538700816573,clustered
206,20,20,0.166,15.0,5,7,0.197272214084413,clustered
207,20,20,0.166,15.0,5,8,0.1806114016244777,clustered
208,20,20,0.166,15.0,5,9,0.1906930650027857,clustered
209,20,20,0.166,15.0,5,10,0.1649915515514182,clustered
210,20,20,0.166,15.0,6,7,0.1380710031002982,clustered
211,20,20,0.166,15.0,6,8,0.1619368809522,clustered
212,20,20,0.166,15.0,6,9,0.1930963557116344,clustered
213,20,20,0.166,15.0,6,10,0.1903743774455166,clustered
214,20,20,0.166,15.0,7,8,0.1698253463731339,clustered
215,20,20,0.166,15.0,7,9,0.1726360665686518,clustered
216,20,20,0.166,15.0,7,10,0.1602797593347689,clustered
217,20,20,0.166,15.0,8,9,0.1828697276522926,clustered
218,20,20,0.166,15.0,8,10,0.17071088880348,clustered
219,20,20,0.166,15.0,9,10,0.1680810715481757,clustered
220,40,40,0.166,0.0,0,1,0.0911162291802922,clustered
221,40,40,0.166,0.0,0,2,0.1009379186989397,clustered
222,40,40,0.166,0.0,0,3,0.0861288602222764,clustered
223,40,40,0.166,0.0,0,4,0.095422347825517,clustered
224,40,40,0.166,0.0,0,5,0.1064377866917856,clustered
225,40,40,0.166,0.0,0,6,0.1081424735136949,clustered
226,40,40,0.166,0.0,0,7,0.0991585731390369,clustered
227,40,40,0.166,0.0,0,8,0.0895913281412833,clustered
228,40,40,0.166,0.0,0,9,0.0965263925736481,clustered
229,40,40,0.166,0.0,0,10,0.0821811224677446,clustered
230,40,40,0.166,0.0,1,2,0.0896911199108347,clustered
231,40,40,0.166,0.0,1,3,0.1089717622048247,clustered
232,40,40,0.166,0.0,1,4,0.1019213149110911,clustered
233,40,40,0.166,0.0,1,5,0.0788493419697008,clustered
234,40,40,0.166,0.0,1,6,0.0952554227399228,clustered
235,40,40,0.166,0.0,1,7,0.0913006913520311,clustered
236,40,40,0.166,0.0,1,8,0.0930611210674929,clustered
237,40,40,0.166,0.0,1,9,0.0864440820517047,clustered
238,40,40,0.166,0.0,1,10,0.1022931892271746,clustered
239,40,40,0.166,0.0,2,3,0.0849101731306171,clustered
240,40,40,0.166,0.0,2,4,0.0805423698176465,clustered
241,40,40,0.166,0.0,2,5,0.1025110243233693,clustered
242,40,40,0.166,0.0,2,6,0.0806570994844343,clustered
243,40,40,0.166,0.0,2,7,0.0966442308689881,clustered
244,40,40,0.166,0.0,2,8,0.0977593116483412,clustered
245,40,40,0.166,0.0,2,9,0.0917953866013652,clustered
246,40,40,0.166,0.0,2,10,0.1005878985209856,clustered
247,40,40,0.166,0.0,3,4,0.0934396609406056,clustered
248,40,40,0.166,0.0,3,5,0.0893280829289167,clustered
