,N,M,cluster_size,cluster_mean,seed_a,seed_b,score,model
37,300,300,5.0,0.0,4,8,0.0411148420794326,clustered
38,300,300,5.0,0.0,4,9,0.0410983493953494,clustered
39,300,300,5.0,0.0,4,10,0.0401847630381789,clustered
40,300,300,5.0,0.0,5,6,0.0382276387789426,clustered
41,300,300,5.0,0.0,5,7,0.0388588405247036,clustered
42,300,300,5.0,0.0,5,8,0.0391595776310394,clustered
43,300,300,5.0,0.0,5,9,0.0394867008509814,clustered
44,300,300,5.0,0.0,5,10,0.0393515712572282,clustered
45,300,300,5.0,0.0,6,7,0.0414412578001846,clustered
46,300,300,5.0,0.0,6,8,0.0397330256711151,clustered
47,300,300,5.0,0.0,6,9,0.038388515860583,clustered
48,300,300,5.0,0.0,6,10,0.0402916646227615,clustered
49,300,300,5.0,0.0,7,8,0.0390512333452587,clustered
50,300,300,5.0,0.0,7,9,0.0398074512819024,clustered
51,300,300,5.0,0.0,7,10,0.0402149422276991,clustered
52,300,300,5.0,0.0,8,9,0.039053847290929,clustered
53,300,300,5.0,0.0,8,10,0.0407150609189126,clustered
54,300,300,5.0,0.0,9,10,0.0399743684493041,clustered
55,300,300,5.0,5.0,0,1,0.0403834848479614,clustered
56,300,300,5.0,5.0,0,2,0.0398231553420101,clustered
57,300,300,5.0,5.0,0,3,0.0407772310369044,clustered
58,300,300,5.0,5.0,0,4,0.0403173893887459,clustered
59,300,300,5.0,5.0,0,5,0.0408416297430249,clustered
60,300,300,5.0,5.0,0,6,0.0408332937988933,clustered
61,300,300,5.0,5.0,0,7,0.0406898030868873,clustered
62,300,300,5.0,5.0,0,8,0.0390972832397757,clustered
63,300,300,5.0,5.0,0,9,0.0391367034860479,clustered
64,300,300,5.0,5.0,0,10,0.0397059574661029,clustered
65,300,300,5.0,5.0,1,2,0.0406795641911482,clustered
66,300,300,5.0,5.0,1,3,0.0411037018042806,clustered
67,300,300,5.0,5.0,1,4,0.0411804817705234,clustered
68,300,300,5.0,5.0,1,5,0.0405509833295426,clustered
69,300,300,5.0,5.0,1,6,0.0391121391245222,clustered
70,300,300,5.0,5.0,1,7,0.0398727428931518,clustered
71,300,300,5.0,5.0,1,8,0.0407814518348653,clustered
72,300,300,5.0,5.0,1,9,0.0406713387682397,clustered
73,300,300,5.0,5.0,1,10,0.0409408466581125,clustered
74,300,300,5.0,5.0,2,3,0.0409954358709419,clustered
75,300,300,5.0,5.0,2,4,0.0401759919356505,clustered
76,300,300,5.0,5.0,2,5,0.0388360397657334,clustered
77,300,300,5.0,5.0,2,6,0.0394955888844468,clustered
78,300,300,5.0,5.0,2,7,0.0393854090458642,clustered
79,300,300,5.0,5.0,2,8,0.0391730665835337,clustered
80,300,300,5.0,5.0,2,9,0.0379645864269878,clustered
81,300,300,5.0,5.0,2,10,0.0398000198867652,clustered
82,300,300,5.0,5.0,3,4,0.0405930585723709,clustered
83,300,300,5.0,5.0,3,5,0.040876326294962,clustered
84,300,300,5.0,5.0,3,6,0.0384580464561782,clustered
85,300,300,5.0,5.0,3,7,0.0408017599246151,clustered
86,300,300,5.0,5.0,3,8,0.0405700194245233,clustered
87,300,300,5.0,5.0,3,9,0.0404954223668002,clustered
88,300,300,5.0,5.0,3,10,0.0397330622719286,clustered
