,N,M,cluster_size,cluster_mean,seed_a,seed_b,score,model
225,40,60,0.166,0.0,0,6,0.0913826075357513,clustered
226,40,60,0.166,0.0,0,7,0.0859397312320389,clustered
227,40,60,0.166,0.0,0,8,0.082753079359007,clustered
228,40,60,0.166,0.0,0,9,0.0918808266765066,clustered
229,40,60,0.166,0.0,0,10,0.0922157921711202,clustered
230,40,60,0.166,0.0,1,2,0.0881473919078413,clustered
231,40,60,0.166,0.0,1,3,0.0858567764730565,clustered
232,40,60,0.166,0.0,1,4,0.0935427764481199,clustered
233,40,60,0.166,0.0,1,5,0.0970360671008919,clustered
234,40,60,0.166,0.0,1,6,0.090928840009506,clustered
235,40,60,0.166,0.0,1,7,0.086189678575233,clustered
236,40,60,0.166,0.0,1,8,0.0883168756548769,clustered
237,40,60,0.166,0.0,1,9,0.0792188623752059,clustered
238,40,60,0.166,0.0,1,10,0.0888612168731619,clustered
239,40,60,0.166,0.0,2,3,0.0803292658433134,clustered
240,40,60,0.166,0.0,2,4,0.0867095416890675,clustered
241,40,60,0.166,0.0,2,5,0.0892667846551434,clustered
242,40,60,0.166,0.0,2,6,0.098152300731094,clustered
243,40,60,0.166,0.0,2,7,0.0955489904594823,clustered
244,40,60,0.166,0.0,2,8,0.0829121584924369,clustered
245,40,60,0.166,0.0,2,9,0.0894608953236147,clustered
246,40,60,0.166,0.0,2,10,0.0861583198309424,clustered
247,40,60,0.166,0.0,3,4,0.0869018190385598,clustered
248,40,60,0.166,0.0,3,5,0.0731195325190357,clustered
249,40,60,0.166,0.0,3,6,0.0831905116401028,clustered
250,40,60,0.166,0.0,3,7,0.0905970756445947,clustered
251,40,60,0.166,0.0,3,8,0.0939930833526269,clustered
252,40,60,0.166,0.0,3,9,0.0911975685957111,clustered
253,40,60,0.166,0.0,3,10,0.0856456043694766,clustered
254,40,60,0.166,0.0,4,5,0.0889378259745074,clustered
255,40,60,0.166,0.0,4,6,0.0808159463088826,clustered
256,40,60,0.166,0.0,4,7,0.0929809721192773,clustered
257,40,60,0.166,0.0,4,8,0.1067875978431116,clustered
258,40,60,0.166,0.0,4,9,0.0729444093297034,clustered
259,40,60,0.166,0.0,4,10,0.0897185073912303,clustered
260,40,60,0.166,0.0,5,6,0.0982663482564485,clustered
261,40,60,0.166,0.0,5,7,0.094375638042538,clustered
262,40,60,0.166,0.0,5,8,0.0947143710216278,clustered
263,40,60,0.166,0.0,5,9,0.082996751390087,clustered
264,40,60,0.166,0.0,5,10,0.0895236505390218,clustered
